"","model","N","RMSE","maxR2","integratedR2","pval","qval","Fobs"
"22","EDA_alt_noise_tempBody_PM1",14,0.945528,0.688733,21.9581995359431,0.555,5.7373,2.3587
"23","EDA_alt_noise_tempBody_PM25",14,0.94711,0.677125,22.5258241362457,0.425,5.7721,2.5895
"17","EDA_alt_noise_temp_acc",31,0.959756,0.533264,14.4487383043435,0.09,1.1066,1.0144
"21","EDA_alt_noise_temp_steps",31,0.967796,0.484247,13.2798716906005,0.26,1.3471,0.9115
"25","EDA_alt_noise_tempEntrant",19,0.971104,0.634487,14.2397101235999,0.095,1.8896,1.6762
"20","EDA_alt_noise_temp_speed",32,0.978453,0.498659,25.7451334744333,0.765,1.3214,0.9233
"24","EDA_alt_noise_tempEmpatica",32,0.980686,0.5026,11.136725466741,0.01,0.8105,0.9532
"19","EDA_alt_noise_temp_bodyTemp",23,0.983598,0.546079,16.1273785911019,0.17,1.5798,1.1781
"12","EDA_alt_noise_speed_PM1",19,0.990957,0.582579,15.1924376606762,0.215,2.7682,1.8955
"13","EDA_alt_noise_speed_PM25",19,0.99256,0.574583,15.3386342976272,0.19,2.6574,1.9415
"29","EDA_noise_temp_bodyTemp",23,0.999761,0.54508,14.4986236392655,0.04,1.1269,1.1864
"11","EDA_alt_noise_speed",32,1.008945,0.399442,10.7706853897376,0.765,1.2732,0.6518
"5","EDA_alt_noise_acc_PM1",18,1.009266,0.649744,15.440149658817,0.245,3.061,1.8601
"6","EDA_alt_noise_acc_PM25",18,1.010421,0.660726,15.6086279538945,0.2,2.8388,1.9379
"18","EDA_alt_noise_temp_body",23,1.015597,0.456796,13.1122311128972,0.285,1.3621,0.8815
"26","EDA_alt_temp_body",28,1.017492,0.337989,6.51118597739493,0.19,0.8153,0.5146
"3","EDA_airpress_noise_temp",24,1.018808,0.412089,10.8481220480306,0.54,1.3142,0.674
"8","EDA_alt_noise_pollution1",19,1.01882,0.547578,11.9748032448357,0.415,1.9853,1.037
"4","EDA_alt_noise_acc",31,1.019642,0.441674,8.81960000368763,0.235,0.9927,0.62
"9","EDA_alt_noise_pollution25",19,1.020716,0.555826,12.18597700803,0.41,2.0415,1.0578
"10","EDA_alt_noise_Sex",31,1.021243,0.360871,8.20603348454227,0.33,0.7591,0.4893
"14","EDA_alt_noise_steps",31,1.023609,0.343626,7.89818128466227,0.525,1.3688,0.621
"7","EDA_alt_noise",32,1.026654,0.356377,6.13304155303453,0.265,0.6648,0.4472
"27","EDA_alt_temp_pollution1",26,1.038146,0.54656,13.7121467600925,0.065,1.4053,1.164
"28","EDA_alt_temp_pollution25",26,1.043578,0.512391,13.0002501722024,0.095,1.3735,1.0466
"2","EDA_airpress_noise",24,1.053468,0.337832,6.31883624479399,0.79,1.1106,0.3901
"16","EDA_alt_noise_steps_PM25",18,1.096776,0.575932,40.1098770645084,0.48,2.6891,1.4899
"15","EDA_alt_noise_steps_PM1",18,1.097739,0.575689,41.5781010728719,0.35,2.8146,1.6406
